Country,Candidate,Year,personalism
PERU,Yonhy Lescano,2021,0.485714285714286
REPÚBLICA DOMINICANA,Danilo Medina,2012,0.572953736654804
REPÚBLICA DOMINICANA,Gonzálo Castillo,2020,0.788888888888889
REPÚBLICA DOMINICANA,Guillermo Moreno,2016,0.347222222222222
REPÚBLICA DOMINICANA,Hipolito Mejia,2012,0.515151515151515
REPÚBLICA DOMINICANA,Ismael Reyes,2020,0.637931034482759
REPÚBLICA DOMINICANA,Juan Cohen,2020,1
REPÚBLICA DOMINICANA,Julián Serulle,2012,0.833333333333333
REPÚBLICA DOMINICANA,Leonel Fernández,2020,0.0326797385620915
REPÚBLICA DOMINICANA,Luis Abinader,2016,0.647887323943662
REPÚBLICA DOMINICANA,Soraya Aquino,2016,0.478260869565217
URUGUAY,Daniel Goldman,2019,0.165492957746479
URUGUAY,Daniel Martínez,2019,0.261904761904762
URUGUAY,Edgardo Novick,2019,0.555555555555556
URUGUAY,Ernesto Talvi,2019,0.4
URUGUAY,Guido Manini Rios,2019,0.032258064516129
URUGUAY,Luis Lacalle Pou,2014,0.185185185185185
URUGUAY,Rafael Fernández,2019,0.45
VENEZUELA,Hugo Chávez,2012,0.205882352941176
VENEZUELA,Javier Bertucci,2018,0.824324324324324
VENEZUELA,Reinaldo Quijada,2018,0.195652173913043
